building_1,location_1,location_2,building_2,assignment
1030,2001,3001,4003,1.0
1030,2001,3001,4004,1.0
1030,2001,3001,4005,1.0
1030,2001,3001,4006,1.0
1030,2001,3001,4007,1.0
1030,2001,3001,4008,1.0
1030,2001,3001,4009,1.0
1030,2001,3001,4010,1.0
1030,2001,3001,4011,1.0
1030,2001,3001,4012,1.0
1030,2001,3001,4013,1.0
1030,2001,3001,4014,1.0
1030,2001,3001,4015,1.0
1030,2001,3001,4016,1.0
1030,2001,3001,4017,1.0
1030,2001,3001,4018,1.0
1030,2001,3001,4019,1.0
1030,2001,3001,4020,1.0
1030,2001,3001,4021,1.0
1030,2001,3001,4022,1.0
1030,2001,3001,4023,1.0
1030,2001,3001,4024,1.0
1030,2001,3001,4025,1.0
1030,2001,3001,4026,1.0
1030,2001,3001,4027,1.0
1030,2001,3001,4028,1.0
1030,2001,3001,4029,1.0
1030,2001,3001,4030,1.0
